season_year,seasonid,leagueid,league_name,team_name,team_params
2022,30,252,10U Major 12,CT Jr. Whalers,?seasonid=30&leaguetypeid=2&leagueid=252&teamid=2920
2022,30,252,10U Major 12,Long Island Royals,?seasonid=30&leaguetypeid=2&leagueid=252&teamid=2921
2022,30,252,10U Major 12,New Jersey Colonials,?seasonid=30&leaguetypeid=2&leagueid=252&teamid=2922
2022,30,252,10U Major 12,North Jersey Avalanche,?seasonid=30&leaguetypeid=2&leagueid=252&teamid=2923
2022,30,252,10U Major 12,Palmyra Black Knights,?seasonid=30&leaguetypeid=2&leagueid=252&teamid=2928
2022,30,252,10U Major 12,Philadelphia Hockey Club,?seasonid=30&leaguetypeid=2&leagueid=252&teamid=2924
2022,30,252,10U Major 12,Philadelphia Junior Flyers,?seasonid=30&leaguetypeid=2&leagueid=252&teamid=2925
2022,30,252,10U Major 12,Philadelphia Little Flyers,?seasonid=30&leaguetypeid=2&leagueid=252&teamid=2926
2022,30,252,10U Major 12,Valley Forge Minutemen,?seasonid=30&leaguetypeid=2&leagueid=252&teamid=2927
2022,30,251,10U Minor 13,CT Jr. Whalers,?seasonid=30&leaguetypeid=2&leagueid=251&teamid=2910
2022,30,251,10U Minor 13,Long Island Royals,?seasonid=30&leaguetypeid=2&leagueid=251&teamid=2911
2022,30,251,10U Minor 13,New Jersey Colonials,?seasonid=30&leaguetypeid=2&leagueid=251&teamid=2912
2022,30,251,10U Minor 13,New Jersey Jr. Titans,?seasonid=30&leaguetypeid=2&leagueid=251&teamid=2913
2022,30,251,10U Minor 13,North Jersey Avalanche,?seasonid=30&leaguetypeid=2&leagueid=251&teamid=2914
2022,30,251,10U Minor 13,Philadelphia Hockey Club,?seasonid=30&leaguetypeid=2&leagueid=251&teamid=2915
2022,30,251,10U Minor 13,Philadelphia Junior Flyers,?seasonid=30&leaguetypeid=2&leagueid=251&teamid=2916
2022,30,251,10U Minor 13,Philadelphia Little Flyers,?seasonid=30&leaguetypeid=2&leagueid=251&teamid=2917
2022,30,251,10U Minor 13,Valley Forge Minutemen,?seasonid=30&leaguetypeid=2&leagueid=251&teamid=2918
2022,30,251,10U Minor 13,WB/Scranton Jr. Knights,?seasonid=30&leaguetypeid=2&leagueid=251&teamid=2919
2022,30,254,12U Major 10,CT Jr. Whalers National,?seasonid=30&leaguetypeid=2&leagueid=254&teamid=2952
2022,30,254,12U Major 10,Jersey Whalers American,?seasonid=30&leaguetypeid=2&leagueid=254&teamid=2945
2022,30,254,12U Major 10,Long Island Royals American,?seasonid=30&leaguetypeid=2&leagueid=254&teamid=2946
2022,30,254,12U Major 10,New Jersey Colonials National,?seasonid=30&leaguetypeid=2&leagueid=254&teamid=2953
2022,30,254,12U Major 10,New Jersey Devils Youth American,?seasonid=30&leaguetypeid=2&leagueid=254&teamid=2947
2022,30,254,12U Major 10,New Jersey Jr. Titans National,?seasonid=30&leaguetypeid=2&leagueid=254&teamid=2954
2022,30,254,12U Major 10,New York Saints National,?seasonid=30&leaguetypeid=2&leagueid=254&teamid=2955
