Game ID,Date,Game Type,League,Team For,Team Against,G,G(PP),G(SH),G(SO),A,P,PIM
45178,09/21/25,District and League Game,14U Major 11,New Jersey Devils Youth Elite,Philadelphia Little Flyers Elite,0,0,0,0,1,1,0
45627,09/27/25,League Game,14U Major 11,New Jersey Devils Youth Elite,Long Island Gulls Elite,1,0,0,0,0,1,0
45179,09/28/25,League Game,14U Major 11,New Jersey Devils Youth Elite,Elite Hockey Elite,0,0,0,0,1,1,0
45397,10/18/25,League Game,14U Major 11,New Jersey Devils Youth Elite,Elite Hockey Elite,2,0,0,0,1,3,0
45383,11/01/25,League Game,14U Major 11,New Jersey Devils Youth Elite,Washington Little Capitals Elite,0,0,0,0,0,0,0
45384,11/02/25,League Game,14U Major 11,New Jersey Devils Youth Elite,Washington Little Capitals Elite,1,0,0,0,1,2,0
45180,11/09/25,District and League Game,14U Major 11,New Jersey Devils Youth Elite,Philadelphia Little Flyers Elite,0,0,0,0,1,1,0
45181,11/14/25,League Game,14U Major 11,New Jersey Devils Youth Elite,Long Island Gulls Elite,1,0,0,0,0,1,0
45626,11/22/25,League Game,14U Major 11,New Jersey Devils Youth Elite,Long Island Gulls Elite,1,0,0,0,2,3,0
45182,11/23/25,League Game,14U Major 11,New Jersey Devils Youth Elite,Elite Hockey Elite,1,0,0,0,1,2,0
45183,12/06/25,League Game,14U Major 11,New Jersey Devils Youth Elite,Washington Little Capitals Elite,0,0,0,0,0,0,0
45184,12/07/25,League Game,14U Major 11,New Jersey Devils Youth Elite,Washington Little Capitals Elite,0,0,0,0,1,1,0
44956,12/13/25,District and League Game,14U Major 11,New Jersey Devils Youth Elite,Philadelphia Little Flyers Elite,0,0,0,0,1,1,0
45468,12/20/25,League Game,14U Major 11,New Jersey Devils Youth Elite,Elite Hockey Elite,0,0,0,0,0,0,0
45185,12/21/25,League Game,14U Major 11,New Jersey Devils Youth Elite,Long Island Gulls Elite,0,0,0,0,0,0,0
44961,01/10/26,District and League Game,14U Major 11,New Jersey Devils Youth Elite,Philadelphia Little Flyers Elite,1,0,0,0,0,1,1
45686,02/21/26,Playoff Game,14U Major 11,New Jersey Devils Youth Elite,Washington Little Capitals Elite,1,0,0,0,0,1,0
45687,02/22/26,Playoff Game,14U Major 11,New Jersey Devils Youth Elite,Washington Little Capitals Elite,0,0,0,0,0,0,0
45719,02/28/26,Playoff Game,14U Major 11,New Jersey Devils Youth Elite,Washington Little Capitals Elite,1,0,0,0,0,1,0
