season_year,seasonid,leagueid,league_name,team_name,team_params
2015,22,181,10U Squirt Major,CT RoughRiders,?seasonid=22&leaguetypeid=2&leagueid=181&teamid=2000
2015,22,181,10U Squirt Major,Long Island Gulls,?seasonid=22&leaguetypeid=2&leagueid=181&teamid=2001
2015,22,181,10U Squirt Major,Long Island Royals,?seasonid=22&leaguetypeid=2&leagueid=181&teamid=2002
2015,22,181,10U Squirt Major,New Jersey Colonials,?seasonid=22&leaguetypeid=2&leagueid=181&teamid=2003
2015,22,181,10U Squirt Major,New Jersey Rockets,?seasonid=22&leaguetypeid=2&leagueid=181&teamid=2004
2015,22,181,10U Squirt Major,North Jersey Avalanche,?seasonid=22&leaguetypeid=2&leagueid=181&teamid=2005
2015,22,181,10U Squirt Major,Philadelphia Junior Flyers,?seasonid=22&leaguetypeid=2&leagueid=181&teamid=2006
2015,22,181,10U Squirt Major,Philadelphia Little Flyers,?seasonid=22&leaguetypeid=2&leagueid=181&teamid=2007
2015,22,181,10U Squirt Major,Team Comcast,?seasonid=22&leaguetypeid=2&leagueid=181&teamid=2023
2015,22,181,10U Squirt Major,Valley Forge Minutemen,?seasonid=22&leaguetypeid=2&leagueid=181&teamid=2009
2015,22,182,10U Squirt Minor,CT RoughRiders,?seasonid=22&leaguetypeid=2&leagueid=182&teamid=2010
2015,22,182,10U Squirt Minor,Lehigh Valley Phantoms,?seasonid=22&leaguetypeid=2&leagueid=182&teamid=2013
2015,22,182,10U Squirt Minor,Long Island Gulls,?seasonid=22&leaguetypeid=2&leagueid=182&teamid=2011
2015,22,182,10U Squirt Minor,Long Island Royals,?seasonid=22&leaguetypeid=2&leagueid=182&teamid=2012
2015,22,182,10U Squirt Minor,Mercer Chiefs,?seasonid=22&leaguetypeid=2&leagueid=182&teamid=2014
2015,22,182,10U Squirt Minor,New Jersey Colonials,?seasonid=22&leaguetypeid=2&leagueid=182&teamid=2015
2015,22,182,10U Squirt Minor,New Jersey Rockets,?seasonid=22&leaguetypeid=2&leagueid=182&teamid=2016
2015,22,182,10U Squirt Minor,New York Saints,?seasonid=22&leaguetypeid=2&leagueid=182&teamid=2019
2015,22,182,10U Squirt Minor,North Jersey Avalanche,?seasonid=22&leaguetypeid=2&leagueid=182&teamid=2017
2015,22,182,10U Squirt Minor,Philadelphia Junior Flyers,?seasonid=22&leaguetypeid=2&leagueid=182&teamid=2018
2015,22,182,10U Squirt Minor,Team Comcast,?seasonid=22&leaguetypeid=2&leagueid=182&teamid=2022
2015,22,182,10U Squirt Minor,Valley Forge Minutemen,?seasonid=22&leaguetypeid=2&leagueid=182&teamid=2021
2015,22,179,12U Pee Wee Major,CT RoughRiders,?seasonid=22&leaguetypeid=2&leagueid=179&teamid=1969
2015,22,179,12U Pee Wee Major,CT Wolfpack,?seasonid=22&leaguetypeid=2&leagueid=179&teamid=1970
2015,22,179,12U Pee Wee Major,Long Island Gulls,?seasonid=22&leaguetypeid=2&leagueid=179&teamid=1971
2015,22,179,12U Pee Wee Major,Mercer Chiefs,?seasonid=22&leaguetypeid=2&leagueid=179&teamid=1972
2015,22,179,12U Pee Wee Major,New Jersey Colonials,?seasonid=22&leaguetypeid=2&leagueid=179&teamid=1973
2015,22,179,12U Pee Wee Major,New Jersey Devils Youth,?seasonid=22&leaguetypeid=2&leagueid=179&teamid=1974
2015,22,179,12U Pee Wee Major,New Jersey Rockets,?seasonid=22&leaguetypeid=2&leagueid=179&teamid=1975
2015,22,179,12U Pee Wee Major,New York Saints,?seasonid=22&leaguetypeid=2&leagueid=179&teamid=1979
2015,22,179,12U Pee Wee Major,North Jersey Avalanche,?seasonid=22&leaguetypeid=2&leagueid=179&teamid=1976
2015,22,179,12U Pee Wee Major,Philadelphia Junior Flyers,?seasonid=22&leaguetypeid=2&leagueid=179&teamid=1977
2015,22,179,12U Pee Wee Major,Philadelphia Little Flyers,?seasonid=22&leaguetypeid=2&leagueid=179&teamid=1978
2015,22,179,12U Pee Wee Major,Team Comcast,?seasonid=22&leaguetypeid=2&leagueid=179&teamid=2025
2015,22,179,12U Pee Wee Major,Team Maryland,?seasonid=22&leaguetypeid=2&leagueid=179&teamid=1981
2015,22,179,12U Pee Wee Major,Valley Forge Minutemen,?seasonid=22&leaguetypeid=2&leagueid=179&teamid=1982
2015,22,179,12U Pee Wee Major,Washington Little Capitals,?seasonid=22&leaguetypeid=2&leagueid=179&teamid=1983
2015,22,180,12U Pee Wee Minor,CT RoughRiders,?seasonid=22&leaguetypeid=2&leagueid=180&teamid=1984
2015,22,180,12U Pee Wee Minor,CT Wolfpack,?seasonid=22&leaguetypeid=2&leagueid=180&teamid=1994
2015,22,180,12U Pee Wee Minor,Long Island Gulls,?seasonid=22&leaguetypeid=2&leagueid=180&teamid=1985
2015,22,180,12U Pee Wee Minor,Long Island Royals,?seasonid=22&leaguetypeid=2&leagueid=180&teamid=1986
2015,22,180,12U Pee Wee Minor,New Jersey Colonials,?seasonid=22&leaguetypeid=2&leagueid=180&teamid=1996
2015,22,180,12U Pee Wee Minor,New Jersey Devils Youth,?seasonid=22&leaguetypeid=2&leagueid=180&teamid=1997
2015,22,180,12U Pee Wee Minor,New Jersey Jr. Titans,?seasonid=22&leaguetypeid=2&leagueid=180&teamid=1995
2015,22,180,12U Pee Wee Minor,New Jersey Rockets,?seasonid=22&leaguetypeid=2&leagueid=180&teamid=1987
2015,22,180,12U Pee Wee Minor,North Jersey Avalanche,?seasonid=22&leaguetypeid=2&leagueid=180&teamid=1988
2015,22,180,12U Pee Wee Minor,Philadelphia Junior Flyers,?seasonid=22&leaguetypeid=2&leagueid=180&teamid=1989
2015,22,180,12U Pee Wee Minor,Philadelphia Little Flyers,?seasonid=22&leaguetypeid=2&leagueid=180&teamid=1998
2015,22,180,12U Pee Wee Minor,Team Comcast,?seasonid=22&leaguetypeid=2&leagueid=180&teamid=2024
2015,22,180,12U Pee Wee Minor,Team Maryland,?seasonid=22&leaguetypeid=2&leagueid=180&teamid=1991
2015,22,180,12U Pee Wee Minor,Valley Forge Minutemen,?seasonid=22&leaguetypeid=2&leagueid=180&teamid=1992
2015,22,180,12U Pee Wee Minor,Washington Little Capitals,?seasonid=22&leaguetypeid=2&leagueid=180&teamid=1993
2015,22,180,12U Pee Wee Minor,WB/Scranton Jr. Knights,?seasonid=22&leaguetypeid=2&leagueid=180&teamid=1999
2015,22,177,14U Bantam Major,CT RoughRiders,?seasonid=22&leaguetypeid=2&leagueid=177&teamid=1937
2015,22,177,14U Bantam Major,CT Wolfpack,?seasonid=22&leaguetypeid=2&leagueid=177&teamid=1938
2015,22,177,14U Bantam Major,Lehigh Valley Phantoms,?seasonid=22&leaguetypeid=2&leagueid=177&teamid=1948
2015,22,177,14U Bantam Major,Long Island Gulls,?seasonid=22&leaguetypeid=2&leagueid=177&teamid=1946
2015,22,177,14U Bantam Major,Long Island Royals,?seasonid=22&leaguetypeid=2&leagueid=177&teamid=1947
