team_id,team_name
1027,CT Chiefs 11U
1053,CT Chiefs 12U
1279,CT Chiefs 18U
3655,Flyers Elite - BBNA 15U
3683,Flyers Elite - BBNA 16U
3731,Flyers Elite - BBNA 18U
10252,American Hockey Academy 15U
10253,American Hockey Academy 16U
10254,American Hockey Academy 18U
10255,Atlantic Coast Academy 14U
10256,Atlantic Coast Academy 15U
10257,Atlantic Coast Academy National 16U
10258,Atlantic Coast Academy National 18U
10260,Atlantic Coast Academy Prep 18U
10264,Boston Hockey Academy 18U
10265,CT Chiefs 10U
10266,CT Jr. Rangers 10U
10267,CT Jr. Rangers 9U
10268,CT Jr. Rangers 11U
10269,CT Jr. Rangers 13U
10271,Western Colonial 14U Tier 1
10273,CT Jr. Rangers National 16U
10274,CT Jr. Rangers National 18U
10276,Cyclones Academy 16U 
10278,Elmira Junior Aviators 16U
10279,Elmira Junior Aviators 18U
10280,Flyers Elite 10U 
10281,Flyers Elite 11U 
10282,Flyers Elite 12U 
10285,Flyers Elite 9U 
10286,Hartford Jr. Wolfpack 11U
10292,Jersey Hitmen 13U
10293,Jersey Hitmen 14U
3062,Jersey Hitmen 15U
3089,Jersey Hitmen 16U
3115,Jersey Hitmen 18U
10294,Jersey Mustangs Elite 11U
10295,Jersey Shore Lightning 12U
10297,Boston Junior Bruins 18U
10301,Mercer Chiefs 10U
10302,Mercer Chiefs 11U
10303,Mercer Chiefs 12U
11519,Mercer Chiefs 13U
10305,Mercer Chiefs 14U
10307,Mercer Chiefs 9U
10308,Mercer Chiefs Premier 16U
10309,Mercer Chiefs Premier 18U
10311,Mercer Chiefs Prep 18U
10312,Mid-Fairfield 10U 
10313,Mid-Fairfield 11U 
10314,Mid-Fairfield 12U 
10315,Mid-Fairfield 13U 
10317,Mid-Fairfield 9U 
10318,Mount St. Charles 14U 
10319,Mount St. Charles 15U 
10320,Mount St. Charles 16U 
10322,NJ 87's 18U
10323,NJ Hitmen 10U
10324,NJ Hitmen 11U
10325,NJ Hitmen 12U
10326,NJ Hitmen 9U
10328,Notre Dame Hockey Academy 15U
10329,NY Arrows 10U
10330,NY Arrows 11U
10331,NY Arrows 12U
10333,NY Arrows 14U
10334,NY Arrows 15U
10336,NY Arrows 18U
10337,NY Arrows 9U
10338,NY Dynamo 13U
10339,NY Dynamo 10U
10340,NY Dynamo 11U
10341,NY Dynamo 12U
3624, TB NYH2022-018 CPYHA Dynamo 14U Girls Juron
3734,NY Dynamo 18U
10342,NY Dynamo 9U
10344,NY Saints 14U
10347,NY Saints 18U
10348,NYC Hockey Club 10U
10349,NYC Hockey Club 11U
10350,NYC Hockey Club 12U
10351,NYC Hockey Club 13U
10353,NYC Hockey Club 9U
10354,OHA 18U 
10355,PAL Jr. Islander's 11U 
10356,PAL Jr. Islander's 12U 
10357,PAL Jr. Islander's 14U 
10358,PAL Jr. Islanders 13U 
10359,PAL Jr. Islanders 15U 
10360,PAL Jr. Islanders 16U 
10361,PAL Jr. Islanders 18U 
10362,Pal Jr. Islanders 9U 
10363,PAL Jr. Islanders Blue 10U 
10365,PAL Jr. Islanders Orange 10U 
10366,PBK 10U 
10367,PBK 11U 
10368,PBK 12U 
10369,PBK 13U 
5879,PBK 14u
3130,PBK 18u
10370,PBK 9U 
10371,Pittsburgh Stars 13U
10372,Pittsburgh Stars 14U
10373,Pittsburgh Stars 15U
10374,Pittsburgh Stars 16U
10375,Pittsburgh Stars 18U
10376,Red Bank Generals 10U
10377,Red Bank Generals 11U
10378,Red Bank Generals 12U
10379,Red Bank Generals 13U
10380,Red Bank Generals 14U
10383,Red Bank Generals 9U
10384,Revolution Elite 11U 
10385,Revolution Elite 12U 
10388,Revolution Elite 9U 
10391,Rockets Hockey Club 10U 
10392,Rockets Hockey Club 11U 
10393,Rockets Hockey Club 12U 
10394,Rockets Hockey Club 13U 
10395,Rockets Hockey Club 14U 
10396,Rockets Hockey Club 9U 
10400,Rockets Hockey Club Elite 18U 
10401,Rockets Hockey Club Premier 15 
10405,SeaCoast 14U 
10406,SeaCoast 15U 
10407,SeaCoast 16U 
10408,SeaCoast 18U 
10411,South Kent School 15U 
10412,South Kent School 16U 
10414,South Kent School AAA 18U 
2980,Team Maryland 11U
3001,Team Maryland 12U
3036,Team Maryland 13U
10417,Team Maryland 15U 
3133,Team Maryland 18U
10418,TI Selects Premier 14U 
10419,TI Selects Premier 18U 
10421,Utica Jr. Comets 10U
10422,Utica Jr. Comets 11U
10423,Utica Jr. Comets 12U
10424,Utica Jr. Comets 18U
10425,Utica Jr. Comets 9U
10427,West Chester Wolves U18 Academy
10429,Westchester Express 10U
10431,Westchester Express 12U
10432,Westchester Express 13U
1289,Westchester Express 18U
10434,Westchester Express Elite 15U
10439,Woodbridge Wolfpack 9U
10440,Woodbridge Wolfpack 10U
10441,Woodbridge Wolfpack 11U
10442,Woodbridge Wolfpack 12U
10443,Woodbridge Wolfpack 13U
10444,Woodbridge Wolfpack 14U
10445,Woodbridge Wolfpack 16U
10446,Woodbridge Wolfpack 18U
10447,Woodbridge Wolfpack Premier 15U
10649,Rockets Hockey Club Premier 16 
10650,Rockets Hockey Club Premier 18 
10774, PTL G12AAA
10775,NJ Bandits G12AAA
10776,CT Ice Cats G12AAA
10777,PTL G14AAA 
10778,NJ Bandits G14AAA
10779,CT Ice Cats G14AAA
10780,Team Long Island G14AAA
10781,NJ PTL G16AAA
10782,Hockey Academy G16AAA 
10784,PTL G19AAA 
10785,NJ Bandits G19AAA
10786,Team Long Island G19AAA
10787,Boston Hockey Academy G19AAA
10788,Wisconsin Dells Dells Ducks
10789,Minnesota Mullets
10790,Chicago Prospect Stars
